feature,weight,direction,bucket,source,snippet
's ,1.3507487162786358,AI,straight_quotes/apostrophe,openwebtext,"ast words to you"" Van Sant asked.  ""'I love you,'"" Drew, Anita Smithey's 18-year-old son from her first marriage, replied. ""I believe those las"
's ,1.3507487162786358,AI,straight_quotes/apostrophe,openwebtext," have this joy around.""  ""When I first met Anita, I thought, 'Wow, she's pretty, she's young, she has two kids. Oh, I've never had a sister, th"
's ,1.3507487162786358,AI,straight_quotes/apostrophe,openwebtext,"eague Baseball (MLB) who was the second black player to break baseball's color barrier. A native of Camden, South Carolina and three-sport all-"
's ,1.3507487162786358,AI,straight_quotes/apostrophe,openwebtext,an his professional baseball career with the Newark Eagles as the team's second baseman. Doby joined the United States Navy during World War II
's ,1.3507487162786358,AI,straight_quotes/apostrophe,openwebtext,"Shock and Awe  Gabe Newell is about to make a promise. It's 11am on an overcast morning in Bellevue, Washington, and Newell, the i"
's ,1.3507487162786358,AI,straight_quotes/apostrophe,openwebtext,"ton, and Newell, the impresario behind Valve, lumbers into the company's starkly decorated 10th-floor conference room. He pulls out an Aeron ch"
's ,1.3507487162786358,AI,straight_quotes/apostrophe,openwebtext,"nd go solo as soon as the business starts doing well.  Source: Haldane's Best Answers to Tough Interview Questions, Bernard Haldane Associates,"
's ,1.3507487162786358,AI,straight_quotes/apostrophe,openwebtext,f that I didn't know from reading your resume.  Don't just repeat what's on your resume. Think of a talent or skill that didn't quite fit into 
's ,1.3507487162786358,AI,straight_quotes/apostrophe,openwebtext,"nibalism. They both were associated with Brownsville, TX, cults.  Bush's Wild Years: in the 1980s, Bush and serial killer Henry Lee Lucas in TX"
's ,1.3507487162786358,AI,straight_quotes/apostrophe,openwebtext,"rcastic here, since you have been trained to hate him more), though he's only a guy who is surrogate to and parties with Bushes and part of dru"
's ,1.3507487162786358,AI,straight_quotes/apostrophe,openwebtext,"ears ago. Even then, I was already an outsider, a visitor to my family's past.  Sometime around 1950, my grandparents and all six of their grow"
's ,1.3507487162786358,AI,straight_quotes/apostrophe,openwebtext," English, Bradshaw, Beartown, and Iaeger on our way to visit my father's hometown of Panther were little more than shacks. Many were covered wi"
. the,1.0378039027917565,AI,punctuation,openwebtext,"dad.""  ""I finally couldn't wait to look at his parents and hug them ... the same with his children,"" said Hines.  ""When you guys left the courtro"
